Unnamed: 0,text,place,uri,collector,area,lat,lon,GPTnorm
94601,Αλογάντ' εκάτσαν κ' οι γαϊδουράντ' εδούλεψαν,"Πόντος, Σάντα",http://hdl.handle.net/20.500.11853/184254,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Τα άλογα κάθισαν κι οι γαϊδούρια δούλεψαν
95568,Ο Θεόν τερεί το ραχίν και θέκ' το χον!,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/184520,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Ο Θεός κρατάει την ράχη και βάζει το φορτίο!
95873,Πολλά που παθάν' πολλά μαθάν,"Πόντος, Σάντα",http://hdl.handle.net/20.500.11853/217328,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Πολλά που έπαθαν, πολλά έμαθαν"
94560,Άφ' τον Άδη σκάνταλα εβγάλλει,"Πόντος, Ινέπολη",http://hdl.handle.net/20.500.11853/184389,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Άφησε τον Άδη σκάνδαλα βγάζει
3441,Η μάννα εὶναι γλυκίν κρασίν έμνοσιον παξιμάντιν που πίνει άτο ξα κι μεθά που τρώγει α κι χορτάζει,Πόντος,http://hdl.handle.net/20.500.11853/203334,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,"Η μάνα είναι γλυκό κρασί, θεϊκό παξιμάδι που το πίνει και δεν μεθά, που το τρώει και χορταίνει."
94713,Ας ση γειτονεία σ' σύντροφον κι ας σ' οσπίτι σ' αζούχ!,"Πόντος, Σάντα",http://hdl.handle.net/20.500.11853/184342,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Ας στη γειτονιά σου σύντροφο και ας στο σπίτι σου αζούχο!
95796,Ούμπαν πας η οκά τετρακόσα τράμα έν΄,"Πόντος, Τραπεζούντα",http://hdl.handle.net/20.500.11853/217312,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Όπου πας η οκά τετρακόσια δράμια είναι.
77795,Όθεν παν κι άλλο κ' έρχουνταν,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/206810,"Μελανοφρύδης, Παντελεήμον Η.",Πόντος,40.0850088,23.9775837,Όπου πάνε κι αλλού δεν έρχονται
3674,Ο διάβολον δουλείαν κ΄είσεν εγάμνεν τα παιδιά,Πόντος,http://hdl.handle.net/20.500.11853/164609,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,"Ο διάβολος δουλειά δεν είχε, παντρεύει τα παιδιά."
95137,"Η γλώσσα ζογρό γερτέ τσείται, κλαδία, τζατζία κ' έχ'","Πόντος, Σάντα",http://hdl.handle.net/20.500.11853/184065,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Η γλώσσα ζωντανό δέντρο τσείται, κλαδιά, τζιτζιφιές κι έχει."
96041,"Τ' οχτώ ους να 'κι δις, τ' εννέα 'κ' απορείς να παίρτς","Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/217511,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Το οχτώ που να μην δεις, το εννιά να μην απορείς να πάρεις"
77994,Τσί θα φορεί κι αντρίζ';,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/153653,"Μελανοφρύδης, Παντελεήμον Η.",Πόντος,40.0850088,23.9775837,Τι θα φορεί και ανδρίζ';
96224,Το κόκκινον την Πέφτ',"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/244158,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Η κόκκινη Πέμπτη
96112,Τη γυναίκαν είπαν ατεν ο γουρζουλάς παιδιά μοιράζ''. Τ' εμόν μ' επαίρ'νεν' είπεν και τ' εκεινού λαζούμ' κ' έτον',"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/244001,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Τη γυναίκα είπαν αυτή είναι ο γουρζουλάς που μοιράζει παιδιά. Το δικό μου μου έπαιρνε, είπε, και το δικό του άφηνε και ήταν."
4108,Το κολογκύθιν 'ς εμόν ρο κεφάλιν έσπασεν,Πόντος,http://hdl.handle.net/20.500.11853/264055,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,Η κολοκύθα στο δικό μου κεφάλι έσπασε
96186,"Το δώσ' μ' α δώσ' μ' α έμαθεν, το να 'κ' επεγροικίστεν","Πόντος, Τραπεζούντα",http://hdl.handle.net/20.500.11853/184759,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Δώσε μου να μου δίνεις έμαθε, το όχι δεν το κατάλαβε"
95561,Ο Θεόν δί' τα φάβατα που 'κ' εγροικούν να τρώγ' ν άτα,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/184511,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Ο Θεός δίνει τα φάβατα σε αυτούς που δεν μπορούν να τα τρώνε.
94867,Δός εμέν και το παιδί μ' κι' άντρας ιμ 'ς σήν πόρταν κάν στέκ,Πόντος,http://hdl.handle.net/20.500.11853/184869,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Δώσε σε μένα και το παιδί μου και άντρας είμαι στην πόρτα αν στέκομαι
94633,Αούτος ο Θεός πασκείντο εὶναι Αρναούτ' ς;,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/184291,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Αυτός ο Θεός προσπαθεί να είναι Αρβανίτης;
77592,Έμαθαμ' και τη Σεβαζί την ευτενίαν,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/264282,"Μελανοφρύδης, Παντελεήμον Η.",Πόντος,40.0850088,23.9775837,Μάθαμε και τη Σεβάστεια την ευτυχία.
95547,Ο γυρεύον εγύρευεν κ΄ έδιν΄νεν για τη ψήν άτ΄,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/184832,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Ο γυρεύων γύρευε κι έδινε για την ψυχή του.
3992,Τ' ελάδια μ' έκσεα,Πόντος,http://hdl.handle.net/20.500.11853/274886,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,Τα λάδια μου έχυσα
3376,Ευκής παιδίν εὶναι,Πόντος,http://hdl.handle.net/20.500.11853/263918,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,Εύκολο παιδί είναι
95396,Μά'χ κρατεί,Πόντος,http://hdl.handle.net/20.500.11853/217583,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Μάχη κρατάει
3580,Μακρά αδελφός και σιμά ο γειτονάς,Πόντος,http://hdl.handle.net/20.500.11853/166868,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,Μακριά ο αδελφός και κοντά ο γείτονας
77525,Αν επορώ σο περβόλι σ' θήκω έναν λιθάρ,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/284433,"Μελανοφρύδης, Παντελεήμον Η.",Πόντος,40.0850088,23.9775837,Αν μπορώ στο περιβόλι σου βάζω μια πέτρα
77671,Η μερμύκα πα με τ' εκεινές το γαντάρ σεράντα πατουμάνια έρθεν,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/206803,"Μελανοφρύδης, Παντελεήμον Η.",Πόντος,40.0850088,23.9775837,Η μυρμήγκα με εκείνο το γαϊδούρι σαράντα πατήματα ήρθε.
95779,Οκνία μαυροπροσωπία,"Πόντος, Τραπεζούντα",http://hdl.handle.net/20.500.11853/217253,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Η τεμπελιά είναι ντροπή.
95577,"Ο Θεός κορώνα να έκουεν, 'ς σον κόσμον άλογα 'κι θα επέμειν' ναν","Πόντος, Ινέπολη",http://hdl.handle.net/20.500.11853/184529,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Ο Θεός κορώνα να φορούσε, στον κόσμο άλογα δεν θα έμεναν."
94558,Άτραν κι άλεγον που 'κ έχ'ς σην παρέβγαν ντ' έργον έχ;,"Πόντος, Κοτύωρα",http://hdl.handle.net/20.500.11853/184285,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Αυτόν τον δρόμο δεν τον έχεις στην παρέμβαση για τι δουλειά έχεις;
94570,Αγράμπουλον κακκόμελον,"Πόντος, Κερασούντα",http://hdl.handle.net/20.500.11853/184211,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Αγρέμβολο κακόμελο
4334,"Καινούργιον κόσκινον, που να κρεμάνω σε; Κι όντες παλιώνεις, που να τινάω σε;","Πόντος, Οινόη",http://hdl.handle.net/20.500.11853/231870,"Βαμβακίδης, Ι.",Πόντος,40.0850088,23.9775837,"Καινούργιο κόσκινο, πού να σε κρεμάσω; Κι όταν παλιώνεις, πού να σε τινάξω;"
4013,Τα κρίματα μ' επήρες,Πόντος,http://hdl.handle.net/20.500.11853/273003,"Βαλαβάνης, Ι.",Πόντος,40.0850088,23.9775837,Τα κρίματά μου πήρες
95406,Μασχαρευτόν και τσαχευτόν,"Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/217061,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Μασκαρευτό και τσακιστό
96368,"Τρανόν κακό, τρανόν πελάν, τρανόν τυραννισίαν",Πόντος,http://hdl.handle.net/20.500.11853/217517,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,"Μεγάλο κακό, μεγάλη τρέλα, μεγάλη τυραννία."
96193,Το θελυκό το πουλλί φκειάει την φωλέα,"Πόντος, Ινέπολη",http://hdl.handle.net/20.500.11853/184760,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Το θηλυκό πουλί φτιάχνει τη φωλιά.
97266,Άντρας εμ άς εὶναι ουστάπασης και τζοχάρ' αν θέλτς ας εσ',Πόντος,http://hdl.handle.net/20.500.11853/156643,"Παπανανιάδης, Ελευθέριος",Πόντος,40.0850088,23.9775837,Άντρας που δεν είναι οστάπατος και τζοχάρης αν θέλεις ας είναι.
94735,Ας σο στούδιμ ατ'΄εὶναι τι κι' αγαπείεται,Πόντος,http://hdl.handle.net/20.500.11853/184376,"Παπαδόπουλος, Άνθιμος Α.",Πόντος,40.0850088,23.9775837,Από το σπίτι του φαίνεται ότι δεν αγαπιέται.
77884,"Τ' έναν τ΄ ομμάτνατ σ΄ Αϊλαλού, και τ' άλλο σ' Αϊκώστα","Πόντος, Χαλδία",http://hdl.handle.net/20.500.11853/280133,"Μελανοφρύδης, Παντελεήμον Η.",Πόντος,40.0850088,23.9775837,"Το ένα μάτι του στην Αϊλαλού, και το άλλο στην Αϊκώστα"
